職業,資格,関連度の高い講義
診療情報管理士,診療情報管理士,診療情報管理論Ⅰ
診療情報管理士,診療情報管理士,臨床医学総論および医療用語
診療情報管理士,診療情報管理士,臨床医学各論Ⅰ
診療情報管理士,診療情報管理士,医療管理各論
診療情報管理士,診療情報管理士,医療統計学
診療情報管理士,診療情報管理士,臨床医学各論Ⅱ
診療情報管理士,診療情報管理士,臨床医学各論Ⅲ
診療情報管理士,診療情報管理士,臨床医学各論Ⅳ
診療情報管理士,診療情報管理士,診療情報管理論Ⅱ
診療情報管理士,診療情報管理士,国際統計分類Ⅰ
診療情報管理士,診療情報管理士,国際統計分類Ⅱ
プログラマー,基本情報技術者試験（FE）,情報処理論
プログラマー,基本情報技術者試験（FE）,プログラミング応用
プログラマー,基本情報技術者試験（FE）,情報セキュリティ
プログラマー,基本情報技術者試験（FE）,情報と職業
プログラマー,基本情報技術者試験（FE）,ネットワーク技術Ⅰ
プログラマー,基本情報技術者試験（FE）,ネットワーク技術Ⅱ
プログラマー,基本情報技術者試験（FE）,情報化社会論
プログラマー,基本情報技術者試験（FE）,アルゴリズム論
プログラマー,基本情報技術者試験（FE）,AI・データサイエンスⅠ
プログラマー,基本情報技術者試験（FE）,AI・データサイエンスⅡ
システムエンジニア,応用情報技術者試験（AP）,情報処理論
システムエンジニア,応用情報技術者試験（AP）,プログラミング応用
システムエンジニア,応用情報技術者試験（AP）,情報セキュリティ
システムエンジニア,応用情報技術者試験（AP）,情報と職業
システムエンジニア,応用情報技術者試験（AP）,ネットワーク技術Ⅰ
システムエンジニア,応用情報技術者試験（AP）,ネットワーク技術Ⅱ
システムエンジニア,応用情報技術者試験（AP）,情報化社会論
システムエンジニア,応用情報技術者試験（AP）,アルゴリズム論
システムエンジニア,応用情報技術者試験（AP）,AI・データサイエンスⅠ
システムエンジニア,応用情報技術者試験（AP）,AI・データサイエンスⅡ
Webデザイン,ウェブデザイン技能検定,情報セキュリティ
Webデザイン,ウェブデザイン技能検定,ネットワーク技術Ⅰ
Webデザイン,ウェブデザイン技能検定,ネットワーク技術Ⅱ
Webデザイン,ウェブデザイン技能検定,情報処理論
Webデザイン,ウェブデザイン技能検定,ウェブデザイン
Webデザイン,ウェブデザイン技能検定,ウェブコンテンツ実践
データサイエンティスト,統計検定2級・準1級,健康情報統計Ⅱ
データサイエンティスト,統計検定2級・準1級,健康情報統計Ⅲ
データサイエンティスト,統計検定2級・準1級,経営統計学
AI開発者,G検定,インターネットと法
AI開発者,G検定,情報化社会論
AI開発者,G検定,AI・データサイエンスⅠ
AI開発者,G検定,AI・データサイエンスⅡ
AI開発者,G検定,パターン認識
AI開発者,G検定,画像認識
AI開発者,G検定,自然言語処理
AI開発者,G検定,人工知能
ネットワーク管理者,CCNA,ネットワーク技術Ⅰ
ネットワーク管理者,CCNA,ネットワーク技術Ⅱ
ネットワーク管理者,CCNA,ネットワークの構築と運用
ネットワーク管理者,CCNA,情報セキュリティ
セキュリティアナリスト,情報処理安全確保支援士（SC）,情報処理論
セキュリティアナリスト,情報処理安全確保支援士（SC）,プログラミング応用
セキュリティアナリスト,情報処理安全確保支援士（SC）,情報セキュリティ
セキュリティアナリスト,情報処理安全確保支援士（SC）,情報と職業
セキュリティアナリスト,情報処理安全確保支援士（SC）,ネットワーク技術Ⅰ
セキュリティアナリスト,情報処理安全確保支援士（SC）,ネットワーク技術Ⅱ
セキュリティアナリスト,情報処理安全確保支援士（SC）,情報化社会論
セキュリティアナリスト,情報処理安全確保支援士（SC）,アルゴリズム論
セキュリティアナリスト,情報処理安全確保支援士（SC）,AI・データサイエンスⅠ
セキュリティアナリスト,情報処理安全確保支援士（SC）,AI・データサイエンスⅡ
セキュリティアナリスト,情報処理安全確保支援士（SC）,インターネットと法
ITコンサルタント,ITストラテジスト試験（ST）,情報処理論
ITコンサルタント,ITストラテジスト試験（ST）,プログラミング応用
ITコンサルタント,ITストラテジスト試験（ST）,情報セキュリティ
ITコンサルタント,ITストラテジスト試験（ST）,情報と職業
ITコンサルタント,ITストラテジスト試験（ST）,ネットワーク技術Ⅰ
ITコンサルタント,ITストラテジスト試験（ST）,ネットワーク技術Ⅱ
ITコンサルタント,ITストラテジスト試験（ST）,情報化社会論
ITコンサルタント,ITストラテジスト試験（ST）,アルゴリズム論
ITコンサルタント,ITストラテジスト試験（ST）,AI・データサイエンスⅠ
ITコンサルタント,ITストラテジスト試験（ST）,AI・データサイエンスⅡ
ITコンサルタント,ITストラテジスト試験（ST）,インターネットと法
ITコンサルタント,ITストラテジスト試験（ST）,経営情報論
ITコンサルタント,ITストラテジスト試験（ST）,簿記原理
ITコンサルタント,ITストラテジスト試験（ST）,経営戦略論
ITサポート、ヘルプデスク,CompTIA A+,ネットワーク技術Ⅰ
ITサポート、ヘルプデスク,CompTIA A+,ネットワーク技術Ⅱ
ITサポート、ヘルプデスク,CompTIA A+,ネットワークの構築と運用
ITサポート、ヘルプデスク,CompTIA A+,情報セキュリティー
ITサポート、ヘルプデスク,CompTIA A+,インターネットと法
ITサポート、ヘルプデスク,CompTIA A+,産業情報論
ITサポート、ヘルプデスク,CompTIA A+,情報処理論
教員（情報系）,ICT支援員認定試験,情報処理論
教員（情報系）,ICT支援員認定試験,システム設計論
教員（情報系）,ICT支援員認定試験,プログラミング応用
教員（情報系）,ICT支援員認定試験,アルゴリズム論
教員（情報系）,ICT支援員認定試験,ネットワークの構築と運用
教員（情報系）,ICT支援員認定試験,情報と職業
教員（情報系）,ICT支援員認定試験,プログラミング応用演習
教員（情報系）,ICT支援員認定試験,データベース演習
教員（情報系）,ICT支援員認定試験,ネットワーク技術Ⅰ
教員（情報系）,ICT支援員認定試験,ネットワーク技術Ⅱ
教員（情報系）,ICT支援員認定試験,ウェブデザイン
教員（情報系）,ICT支援員認定試験,経営情報論
